Год,Медиана,Топ-10 худших,Топ-10 лучших
2011,5.22,3.69,7.5
2012,5.31,3.74,7.48
2013,5.29,3.66,7.45
2014,5.27,3.59,7.42
2015,5.3,3.50,7.41
2016,5.28,3.51,7.43
2017,5.4,3.38,7.47
2018,5.42,3.36,7.49
2019,5.54,3.48,7.47
2020,5.53,3.48,7.43
2021,5.56,3.24,7.41
2022,5.63,3.20,7.4
2023,5.78,3.26,7.33
2024,5.83,3.27,7.29
